"filename", "language", "XML", "Java", "comment", "blank", "total"
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\AndroidManifest.xml", "XML", 65, 0, 0, 2, 67
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\LoginActivity.java", "Java", 0, 113, 6, 23, 142
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\MainActivity.java", "Java", 0, 130, 0, 33, 163
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\MovieActivity.java", "Java", 0, 90, 0, 22, 112
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\MovieManageActivity.java", "Java", 0, 61, 2, 18, 81
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\MyActivity.java", "Java", 0, 55, 0, 25, 80
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\MyOrderActivity.java", "Java", 0, 113, 0, 24, 137
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\OrderActivity.java", "Java", 0, 306, 28, 55, 389
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\activity\RegActivity.java", "Java", 0, 147, 0, 22, 169
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\adapter\MovieAdapter.java", "Java", 0, 107, 0, 49, 156
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\adapter\MovieHouseAdapter.java", "Java", 0, 73, 16, 35, 124
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\adapter\MovieManageAdapter.java", "Java", 0, 70, 15, 40, 125
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\adapter\MyOrderAdapter.java", "Java", 0, 78, 14, 16, 108
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\entity\BaseEntity.java", "Java", 0, 10, 0, 4, 14
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\entity\MovieEntity.java", "Java", 0, 97, 0, 29, 126
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\entity\MovieHouseEntity.java", "Java", 0, 33, 0, 12, 45
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\entity\MovieManageEntity.java", "Java", 0, 53, 0, 24, 77
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\entity\OrderDetailEntity.java", "Java", 0, 31, 0, 12, 43
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\entity\OrderEntity.java", "Java", 0, 96, 3, 31, 130
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\entity\UserEntity.java", "Java", 0, 47, 3, 17, 67
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\service\RemoteDatas.java", "Java", 0, 32, 8, 8, 48
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\java\cn\movie\utils\CommonUtils.java", "Java", 0, 126, 5, 32, 163
