"filename", "language", "JavaScript", "CSS", "SCSS", "HTML", "Markdown", "XML", "Batch", "JSON", "Properties", "Java", "Less", "comment", "blank", "total"
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\MovieServerApp.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\config\AuthenctiationFailHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\config\AuthenctiationSuccessHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 3, 4, 29
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 56, 7, 94
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\config\UserDetailsServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 5, 9, 58
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\config\UserSecurity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\entity\Menu.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\entity\Permission.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\entity\Role.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\entity\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 12, 38
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\mapper\MenuMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 14, 12, 42
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\mapper\PermissionMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 19, 12, 51
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\mapper\RoleMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 8, 13, 42
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\mapper\UserMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 5, 13, 47
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\query\RoleQuery.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 11
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\query\UserQuery.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 18
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\IMenuService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 18, 7, 37
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\IPermissionService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 10, 9, 30
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\IRoleService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14, 28
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\IUserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 25, 11, 50
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\impl\MenuServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 6, 16, 71
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\impl\PermissionServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 6, 12, 60
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\impl\RoleServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 4, 15, 77
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\serivce\impl\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 15, 12, 81
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\util\CommonUtils.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 2, 15
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\FileUpload.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 7, 26, 136
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\LoginController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 3, 10, 44
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\MenuController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 2, 12, 89
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\PermissionController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 5, 10, 78
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\RoleController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 3, 18, 98
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\RouteController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 10, 15, 44
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 11, 29, 187
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\auth\web\controller\front\UserFrontController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 18, 60
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\controller\MovieController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 7, 35, 164
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\controller\front\MovieFrontController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 15, 61
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\entity\Movie.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 12, 7, 40
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\entity\MovieHouse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\mapper\MovieMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 16, 12, 53
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\query\MovieQuery.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\service\IMovieService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 19, 9, 41
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\movie\service\impl\MovieServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 13, 13, 66
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\controller\OrderController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 10, 38
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\controller\front\OrderFrontController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 8, 17, 69
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\entity\Order.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 7, 8, 37
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\entity\OrderDetail.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 5, 19
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\mapper\OrderMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 12, 32
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\query\OrderQuery.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\service\IOrderService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 8, 18
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\service\impl\OrderServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 10, 38
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\entity\BaseEntity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 10
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\mapper\BaseMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 5, 16
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\page\PageList.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 3, 14
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\query\BaseQuery.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\result\ResultResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 3, 8, 43
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\service\IBaseService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 9, 19
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\service\impl\BaseServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 9, 9, 42
